zgbh,icid
1367206   ,4136551150
1367229   ,2062722896
1367268   ,1115328750
1367393   ,1782946171
1367515   ,2676427323
1367517   ,3074018731
1367767   ,4131060382
1367834   ,2674069819
1368052   ,0311395546
1368139   ,4130580766
1368324   ,0315562886
1368326   ,2063876400
1368430   ,2623150464
1368859   ,0259273450
1368911   ,2674000299
1368918   ,2061644096
1368922   ,2063783616
1368952   ,1781963547
1368979   ,2069180304
1368988   ,2069278208
1369009   ,0969467195
1369067   ,2627114080
1369074   ,4136686686
1286089   ,2662240523
1286694   ,3529639918
1287125   ,2062454144
1355609   ,2061989184
1356302   ,2623842160
1358932   ,2063026064
1358965   ,1769314619
1361326   ,0762477866
1361437   ,1789196315
1362202   ,2048384064
1362279   ,1788632875
1362361   ,3532169006
1362457   ,0969484011
1362459   ,2626770944
1362715   ,2069767808
1363002   ,2066485888
1363060   ,2624714624
1363201   ,2061702928
1363265   ,4287941406
1363389   ,2062680096
1363612   ,2066662128
1364702   ,1788494555
1364704   ,2067632240
1365023   ,2066965632
1365025   ,2675847691
1365573   ,0259094042
864368    ,1700782125
864626    ,4198066567
1301783   ,2671571899
1302257   ,4139697358
1302488   ,0868603083
1302920   ,4134656766
1302945   ,4139185278
1303920   ,4131239406
1306310   ,2672739003
1307633   ,0967756171
805868    ,0482514730
805870    ,0777409477
811808    ,2604785739
881382    ,3502876474
881389    ,1798921273
881434    ,2977478609
881695    ,3208431378
881887    ,1767400923
882130    ,1649210437
885896    ,3744284513
886861    ,2472372720
1332366   ,2676321099
1333740   ,2671779291
1333993   ,2066992576
1335706   ,2061477216
1336809   ,0165307536
1341623   ,2623903056
1341914   ,2674738667
800732    ,0793683989
863810    ,3742724289
1342850   ,1762613883
1343037   ,1788926059
1344259   ,1788830843
1351974   ,2065921840
72488     ,0960571669
04690     ,2066032144
1281662   ,3247643555
756145    ,4129492734
756655    ,3039014346
1362214   ,2059263744
1362233   ,0875023179
1362390   ,2058331312
1362471   ,2058781008
1362484   ,1578824944
1362569   ,1787960491
1362571   ,2622533488
1362618   ,1765023371
1362680   ,2066643664
1362725   ,2052884656
1362761   ,0870123691
1362776   ,2062491296
1362825   ,3532345150
1362844   ,2048460544
1362860   ,4137439502
1362901   ,1782584539
1362920   ,2590178807
1363072   ,0869334731
1363699   ,2070607728
1363874   ,1780713531
1363889   ,1788250299
1364117   ,1766597851
1364206   ,2674774667
1364208   ,2984755409
1364498   ,2675358555
1364590   ,2064936640
1364671   ,1767652251
1365026   ,2066558848
1365407   ,2063003920
1365409   ,3251448995
1301305   ,2662608587
1302171   ,2662891339
1303565   ,4136359870
1303646   ,4134891646
1304370   ,2662882171
1305013   ,2063697888
1308215   ,3285602833
1308437   ,2669731915
1309002   ,1780281051
1309343   ,1109888606
1310680   ,4134510094
36610     ,3303874666
805257    ,2976846929
875511    ,2465651376
880350    ,4130884942
881198    ,2503291200
1332802   ,0867050747
1335103   ,3251655779
1335609   ,0256545530
1338107   ,1767221499
1341638   ,2658709700
1341765   ,2061919616
1343826   ,2676102251
1350622   ,2053729280
1352777   ,2060206816
6851      ,          
0789      ,3739904619
1291313   ,2671477035
1293458   ,3528192430
1293602   ,2673481643
1300866   ,3522647086
1300921   ,0967382651
1365741   ,2060483296
1366112   ,0969265579
1366327   ,2773991723
1366352   ,2062726496
1366649   ,2066676448
1366874   ,0965574475
1366970   ,3740044379
1366979   ,4130631070
1367042   ,3535175598
1367076   ,2062332080
1367136   ,0868391339
1367138   ,3739774977
1367163   ,2622550016
1367293   ,0877628427
1367395   ,2068461440
1367415   ,2672970059
1367417   ,0866748811
1367426   ,1781120843
1367451   ,3531106094
1367456   ,1788708875
1367458   ,3208793058
1367616   ,2627278480
1367746   ,2674532555
1367798   ,2672792363
1367919   ,1782203899
1367945   ,1768666430
1367952   ,0869832603
1367954   ,2624134352
1368043   ,2064021568
1368115   ,2624614608
1368147   ,3527971566
1368149   ,2048093600
1368171   ,2675619595
1368330   ,2062426688
1368355   ,0868881819
1368389   ,0866444603
1368396   ,2054793600
1368520   ,2068964672
1368522   ,2064307632
1368579   ,1578965392
1368668   ,2066022976
1368670   ,2048415280
1368679   ,2051103488
1368704   ,2069341744
1368711   ,1564836208
1368736   ,2064713792
1368767   ,2070258800
1368799   ,3251718083
1368820   ,1766925371
1368977   ,2067230976
1369035   ,2517563165
1369037   ,0875050267
1369268   ,4134880334
1369493   ,1765565275
1369516   ,0866897115
1369518   ,2062733552
1369586   ,1789697083
1369723   ,2064393792
1369732   ,2066475696
1369851   ,0968563595
1369856   ,2062809072
1369858   ,2051104368
1369874   ,2676493371
1371051   ,2066975696
1371197   ,1579847984
1290929   ,3529837598
1354183   ,0968337115
1357276   ,2062330560
1358818   ,2067678128
1358934   ,2069292880
