bh,kh
1406252,4142639590
723371,3164492565
1406259,3937653152
1406260,4142567158
1406261,4142605446
1406262,4143046838
1406263,3560057072
1406264,4142834630
516146,0313232098
1406265,4142105190
1406266,4142612550
1406267,4142950902
1406268,4141880166
748631,3559792368
1406269,4141992726
1388480,3560009632
748641,3560756960
1390375,1289464595
348887,1039313511
516163,0459853769
1388535,3560903104
705165,4215535646
413326,1300327347
1406270,4141866102
1388452,3560624384
1406271,1532309350
1406272,1300018083
1406273,1530209942
1406274,4142614854
1406275,4142748134
1406408,4142925718
1406417,4142622150
1406419,4156086918
1406420,4142730134
1406422,4142809910
1406421,4142933110
1406423,4141852678
1388523,3558649104
1388762,3277344720
723376,3472753651
723372,3546772115
720808,4213640574
720811,4212946382
723373,3546587875
1390561,3938151728
1406291,4141979414
1390564,3938291600
620715,1059524589
1390568,3937957776
723382,3546941011
1390574,1020086763
1390575,3938115344
1390578,3560033840
1390579,3937501312
1388439,3938070352
1406292,4142533398
1388491,3560587952
1406293,4147184214
727124,3546337443
1406294,4142001030
1406296,4142794374
1388493,1021662971
1388490,3558238208
748622,3559394112
748625,3559739696
1406297,4142510406
1406295,4143014102
1406298,4147815910
1406299,4142666198
1406300,4148222950
1406301,4142965942
1406302,4142417094
1406303,4142796806
1406304,4142175430
1406305,4142444758
1388420,3937949344
1388434,3938021952
1406538,4142436742
1406541,4142229718
1406542,4142699446
726906,1727235947
1406545,4142263958
1375589,3376523575
1406592,4142569270
1406596,4156362502
1375592,3319938156
1406602,4141931958
1375594,1727407003
1375598,1727035003
1388482,3560308032
748634,3559535600
1406549,4146183974
1406554,4145721574
748657,3559453232
1388464,3560224176
1388544,2568391851
1388542,3551167319
1406559,4147573414
1406560,4141889142
1406564,4141844246
1406561,4142410918
1406562,4145962614
1406563,4141858118
1406565,4141954918
1406566,4142683894
1406567,4142913078
1406568,4142608662
1406315,4147653318
1406320,4142566790
1388435,3558647040
748610,3560848672
1388551,3559551872
1388553,3937930496
1388552,3560077216
753472,3559169312
1388563,3560161632
1388601,3938109760
748646,3276992080
1388460,3560141696
537319,1021748715
1406634,4141881878
07910 ,3452866283
748662,3559453168
723401,3546678899
723400,3546208835
00908 ,3252272068
36204 ,0526579515
748693,3559806416
748723,3559904016
718885,1531950934
748734,3559595152
00704 ,2570360699
1406306,4142843766
1388557,3938319712
1388559,3559211920
1388560,3560003312
1388567,3560051408
704779,3546881091
704778,4213863806
1406307,4142943366
1406309,4156360214
1406308,4142328342
748696,3559869440
748702,3559072336
748703,1021181867
727068,1726878827
1406310,4142285478
1388596,3560467504
1406311,4143010518
748699,3559145568
1406312,1299897635
1406313,4141946838
1406314,4147438822
1406316,4141967702
1406317,4147904118
1406319,4141962582
1406321,4142525894
00510 ,0277599762
684450,1299179539
684456,1289145283
1406513,4142602150
1406517,4141998342
1406518,4141932438
684469,1059817949
748706,3559693520
1406653,4142815990
1406654,4142483446
748726,3559686880
1406656,4141893478
1388561,3938148800
1406658,4142989958
1388571,3560177632
1406659,4142614998
1406660,4141808006
1406661,4142410598
524357,0313182658
1388580,3560232272
1388583,3560468496
1388591,3560181408
727094,3163918693
1388578,3560266640
727074,3164291189
727073,3164643445
56070 ,1303856510
55704 ,3252044996
748669,3559198384
748737,3558950736
748733,1364947078
748738,3559265744
684455,0422198368
727045,3164288293
703299,4214040350
392600,0086473680
705680,0903967038
06710 ,1727894395
48839 ,3995923410
1388511,3936274768
1388516,3996103810
1388515,3938235200
1388585,3559884736
1388587,3560001936
684461,1727407915
57062 ,1059534077
705702,4213469086
36972 ,1365045670
10656 ,1727041771
684485,1532263862
24740 ,2042416538
704795,4213110430
1388504,1020612603
1388506,3937482368
1371850,3559606496
1371853,1533596006
1388503,3937488064
281112,1295301165
1388526,3937981120
1371856,3560846032
1388521,3937809728
1388529,3937385936
1371902,3559575504
748820,3559482144
620158,1021680923
748839,3559806432
516274,0313817058
129437,3559273136
561875,3167069682
748845,3559901472
1388627,3559902432
1388628,1020243595
727071,3163952661
1388630,3558949296
1388631,3937988656
1388632,3559961616
1388634,3560840160
705220,4213283182
1388637,3560557568
1388639,3938073184
24276 ,0277815794
1406324,4141973286
49386 ,0526326571
1404556,4147209990
1406322,4147900182
1406325,4141822054
1406397,4142114262
1406323,4141947126
1406405,4142843942
1406409,4148075126
1406414,4147478710
548373,3452989771
1406415,4145706774
1406519,4145720438
129526,3560803072
1371833,3559709488
704831,1727024091
1390443,3558381104
1379268,3473151267
50543 ,3478640172
1379270,4213821166
701575,3315705260
1379273,3548603299
1379337,4213031550
1379335,4124556226
129461,1727868555
727227,3164481365
1390431,3937821904
1390432,3937719952
727146,3546519123
703446,4213411518
1388715,3937846704
684487,3995794594
184254,1889043371
1388725,3551320743
1388727,3937666080
703456,1727419819
1388736,3937755344
1388745,3938284000
129423,3560867008
705533,1020032907
1390473,3937617536
1390475,3938264320
1390491,3937845392
1390492,3937503520
705727,1366395014
1390495,3937620560
1390496,3276691616
1406791,4142501190
1371821,3559915744
1406794,4142599286
1406795,4142634518
1406796,4142650294
1406797,4142964102
1406798,4142901830
1406799,4142068534
1406800,4142642646
1406801,4142021750
1406802,4147935302
1406803,4142560310
1406805,4142079622
1406806,4147111174
129434,3559155440
128803,2567843707
00348,0314006402
129466,3560787296
53350 ,3095046098
129481,3559148080
1406683,4142157398
1371817,3559100768
1406495,4142145958
1371815,3559221200
1406520,4142964902
1406523,4142865270
1406525,4142771270
1406407,4142795830
1406503,4142905494
1406524,4147705430
1406526,4141874422
1406527,4142535302
1406529,4142695334
613199,3994211890
753517,3559591408
749093,1021045659
1388811,3560475920
753565,3559562960
749121,3551214759
129509,3559741120
1388818,3937896016
1388640,3937959136
749257,3559810416
698404,4213997070
698628,3164833877
749286,3559569568
749292,3933708672
1371839,3560789568
1390453,3937525120
690360,3164464229
749289,3559912064
1388641,1298817651
660248,4213860782
1388644,3937559840
1388645,3937721216
1388647,3938186176
1388651,3560307088
1388653,3938358704
641817,1991483613
703521,0758174748
1390590,3938186528
1390591,3558634976
1390592,3277220864
1390593,3276734000
684685,0314016466
1371846,3559162400
1371847,3559455744
749539,3559482160
1388661,3560377344
749553,3559697616
655635,4213820286
1388669,3560286528
1388670,3937756000
655637,3310121370
562361,3913707154
540755,1727432219
1371845,3559762768
128711,1727896939
1406424,4142793590
1406425,4142814806
1406426,4142045302
1406427,4142591206
727273,3546842643
1406428,4143036694
1391348,3560396080
1406429,4142297606
53784 ,2829943868
704924,4213565678
684542,3093823538
1388691,3938363296
684709,1020828715
727265,3546729171
1371949,3559526016
1371952,3559466064
1390489,3938271824
1371950,2911618347
1371999,3559378128
1372060,3559697872
1406430,4142168070
1388703,3559967808
1388704,3559988192
1388707,3937398752
1388708,3558494048
1388714,3937934016
1388716,3938235328
1388717,3685027383
1388720,3937537680
1388726,3560186640
1388732,3685336519
1388856,3560411840
749316,3559772224
1388859,3550796343
1388862,3277121392
705446,4213522382
1388864,3938016288
1388865,3560077632
1388866,3937817184
1388869,3559313184
708062,4213875310
749321,3559214240
24483 ,4065418754
749672,1533329446
24094 ,3252073652
684794,1021022459
1388894,3560402240
1390528,3938156176
1390531,3937906368
1390534,3937721504
1390535,3938290592
1390538,3938034976
1406431,4143070902
1374004,1364912086
360284,0371656375
1390497,3938211184
1390500,3277042864
1406457,4146725542
727315,1300104275
53243 ,0995332674
727345,1021086763
1390503,2911635323
1390507,3937883440
1390509,3557824080
1390510,3937916240
1390511,1532967334
753663,3559534720
753665,3934279488
52313 ,3252312420
728651,3377275015
1388740,3685329815
1388741,3937881888
1388747,3551157383
613245,2934356644
1406548,4142700806
1406550,4147153238
608698,3453010091
1390499,3938093024
718168,3163939461
1406551,4147556582
1406576,4142813686
1406578,4148070006
1406583,4142268806
1406584,4142111078
1406585,4142106022
1406587,4147549510
1406588,4142947510
1406586,4141892886
1406590,4141870758
1406591,4142553910
1406593,4142826118
1406594,4142926566
684548,2567112251
749421,3559644864
1388779,3559556336
1388789,3938238000
1388793,3938063152
1390512,3937483040
1406458,4147666150
1406459,4146404150
753661,2567539067
1390517,3938307664
1390519,3937746944
1390522,3938290848
1390524,3938095136
1390527,3938130128
1390529,3937552336
1390530,3937787248
723952,3547027571
1406511,4142465142
1406514,4142806742
1406515,4147662454
1388766,3937892944
262594,0785039227
604689,4086456002
127706,3252144516
1390553,3937777872
246545,2567302187
705398,4213050078
705409,4213271518
443697,0986642068
1390541,3938243792
443704,1059819597
675304,4086514482
1390543,3938127856
1390544,3938157808
1390540,3938082752
1390547,3937901040
1388769,1532878374
1388784,3937993552
1388785,3560029152
1388786,3938063136
1388788,3551670663
1388790,1020631003
1388794,1788883792
1388795,3937426432
513656,3823768945
513657,3823755553
128713,1727823579
1371865,3559635248
624845,1268173577
684628,1727035787
684634,2567134555
535674,3994123954
646258,2145234652
1371851,3560863552
1388902,3937860320
1388910,3551312215
1373167,3559823008
1407975,4156359302
522037,2567096395
1388915,3277140320
1407977,4141887878
301292,1059911149
218048,3494624043
1371908,3560841552
1371909,3559075600
632293,1506112205
1371913,3559681744
1390570,1530963062
1371916,3559712656
242080,2114538555
1371918,3452728011
128714,2567311835
46142 ,1476701297
351712,3966895508
749556,3558974736
240197,0526271339
1371925,3559741792
684711,2784425063
732237,3551893831
1389276,3277958768
1389278,3277851616
1389294,3685366919
1389297,3685038999
1389298,3277703440
1389299,3551322311
607090,3993966114
1406488,4142288422
1374015,3219763788
684728,3994148642
684733,3996103058
1406491,4142270870
1406493,4142451094
615488,3251769092
1388775,3937520240
1388797,3558776528
89565 ,2567304043
DT718,0550393706
AS178 ,1992573933
1385137,0165479459
1385150,3469364563
661982,4213499166
640547,0421866896
1385089,4213245006
1385084,3317733820
1385156,4213785550
1385041,1364263750
1385250,3315488028
661328,3994114450
635955,1021232955
R5857 ,0526152123
M5986 ,3452728155
1388798,1789189280
1406569,4142788998
1388800,1789166320
1388803,3938321184
99701 ,1059803565
R7357 ,1737539518
675319,2567357067
1371894,1362980006
1388801,3938139376
705433,4213200958
705435,1532113558
280761,1020024875
1406570,4142961238
1406571,4142086406
1388807,3560566208
527851,1810597497
1406572,4142770838
1406575,4141869062
1406573,4142132678
1406574,4142646822
1388828,3937724960
1406577,4142067270
1406579,4147085110
1388831,3937726880
1390624,3938257472
1390628,3938213184
1390630,3560436528
1371943,3559072816
684998,2567162587
732365,3683083559
59784 ,2567833499
732374,3070202304
1403070,4212600414
1403415,3320104316
1403416,3547766183
1403417,3686199479
1388832,1788484480
1406580,4156362998
1388833,3551323927
132814,1727407787
W8606 ,0526543771
KM492,1059828317
N4632 ,0990042514
1406581,4142583926
1406582,4142477542
36846 ,1021112955
49873 ,0785395643
541276,3453309931
57588 ,0308847070
49858 ,0108393884
39350 ,0647164221
47780 ,1365056694
660295,2567159659
1372010,3560877344
1390595,3937716192
1390596,3277337296
1390597,3277317344
1390599,3276733408
L7397 ,3417770946
684763,3251976484
703850,3221301068
1406649,4141903318
1406655,4142576918
1406662,1533853702
1406663,4142356294
1406664,4142974790
648031,2420409644
685074,1021146331
1406665,4142397286
1406666,4143029094
732875,3658400967
703718,1366063366
24031 ,1991453213
1404157,1264450560
1404158,3560188720
1404153,3938099904
701968,3995332466
1404159,1727882315
55089 ,2772427020
1404160,3547021363
662760,0912133902
604945,4086046658
715387,4213204638
1404096,3547000291
481906,0763017806
1406620,4141820934
1372038,3559047840
1372032,2911625275
1372039,3560762672
1406622,4142853190
1379542,3546513555
1379308,3219998892
1379958,4085856450
492145,3995386210
1406637,4142713990
702089,3317084252
439906,3995572066
424105,3838455492
727462,3546337315
727463,3164405781
1406318,4148149894
749589,3559596768
436956,2041277114
727450,3164114213
1388839,1789114880
749618,3560574192
753643,1021272059
753641,3559181504
265755,1020202299
1388843,3550980183
1388844,3938230688
1388849,3937850576
1388850,3560863008
727459,3546425971
1390601,3937671248
672354,1727214379
1390606,3276876512
1390607,3938126368
E2814 ,0313294210
L8154 ,2537870702
J1670 ,1295048541
133202,3222000972
L6890 ,0004530258
