zgbh,icid
1952501   ,1578957552
1952508   ,0866040395
1952532   ,2625920752
1952553   ,0066401127
1952575   ,          
1954302   ,4286938318
1286131   ,4129177950
1354987   ,2622741536
1362755   ,0578834482
1363317   ,2071108656
1363671   ,2582072647
1364009   ,          
1364020   ,          
1364027   ,          
1364153   ,0968608747
1364167   ,0872888363
1364185   ,3530680110
1364196   ,2582187463
1364244   ,1788848763
1364279   ,2049121200
769215    ,2976242577
835850    ,1785983531
1345922   ,1764933915
1352789   ,2057137936
53406     ,0958809749
54132     ,1213204711
59818     ,2094890185
60089     ,0031119540
608541    ,1580236880
856699    ,1348567690
1970132   ,4136533086
1970147   ,2057434224
1970151   ,0969399115
1970158   ,2582177303
1970176   ,2063759040
1970183   ,2061801152
1970190   ,2579830295
1970201   ,1766580187
1970429   ,0779876023
1970440   ,2061260912
1970447   ,0065796311
1970454   ,0280049060
1970465   ,0083378068
1970472   ,1764659771
1970482   ,1764929947
1970493   ,0066124439
1970500   ,2472603296
1970511   ,2053112368
1970522   ,4198483239
1970529   ,0874991051
1970536   ,2054438624
1970555   ,0165796256
1970562   ,2674746843
1970591   ,1789907227
1970598   ,0778027255
1970605   ,2066539904
1970613   ,2625037408
1970617   ,2066703904
1970642   ,2624991792
1970649   ,0778072727
1970657   ,3532944206
1970668   ,0967641931
1970675   ,2053193472
1970682   ,0777407141
1970693   ,2066221168
1970700   ,2066569888
1970707   ,2066036624
1970718   ,2772670491
1339269   ,1116497710
1340251   ,1783287211
1341721   ,2675244571
756909    ,3529817710
757818    ,0960199941
831778    ,2519473965
1319576   ,0768937575
1322597   ,1787866011
1970751   ,          
1970762   ,          
1970769   ,          
1970776   ,          
1970787   ,          
1970794   ,          
1970808   ,          
1970815   ,          
1970822   ,          
1970833   ,          
1970840   ,          
1970847   ,          
1970858   ,          
1970865   ,          
1970872   ,          
1970883   ,          
1970890   ,          
1970897   ,          
1970915   ,          
1970922   ,          
1970933   ,          
1967132   ,1577115600
1967146   ,2670858363
1967165   ,0083860292
1969547   ,0066797191
1969809   ,0778077719
1969811   ,0768758199
1969824   ,0777670599
1969826   ,0777845559
1969828   ,0777841607
1969843   ,0779835111
1970090   ,0091780276
1280660   ,3247567587
677908    ,4136197950
843466    ,2113190228
848423    ,2946416946
1293466   ,3157503570
1293472   ,4129422766
1300036   ,2673109019
1370381   ,2064535872
1371035   ,2770930203
1952494   ,0777595863
1952496   ,0779602119
1952515   ,0777851095
1952522   ,0779583063
