08:16:12:6567712 Emp Update Insert===================
08:16:16:2029740 -->Query 111ClassSum:39674
08:16:20:6842303 -->Query ProgressEmpClassSum:39722
08:17:57:5157688 Emp Update Insert===================
08:18:00:4939391 -->Query 111ClassSum:39674
08:18:04:6411763 -->Query ProgressEmpClassSum:39722
08:21:11:1638448 -->insert111_EmpClassError,Rollback :索引超出范围。必须为非负值并小于集合大小。
参数名: index
08:27:04:6470629 Emp Update Insert===================
08:27:07:1432057 -->Query 111ClassSum:39674
08:27:11:3194445 -->Query ProgressEmpClassSum:39722
08:27:12:7075239 127075
08:27:12:7125242 127080
08:27:12:7165244 127084
08:27:12:7195246 127092
08:27:12:7225248 127097
08:27:12:7255250 127098
08:27:12:7295252 127103
08:27:12:7335254 127106
08:27:12:7365256 127116
08:27:12:7385257 127120
08:27:12:7415259 127122
08:27:12:7435260 127129
08:27:12:7465262 127132
08:27:12:7495263 127133
08:27:12:7525265 127134
08:27:12:7555267 127135
08:27:12:7585268 127143
08:27:12:7615270 127151
08:27:12:7635271 127156
08:27:12:7745278 127157
08:27:12:7775279 127158
08:27:12:7795281 127159
08:27:12:7825282 127160
08:27:12:7865285 127167
08:27:12:7895286 127177
08:27:12:7925288 127182
08:27:12:7955290 127183
08:27:12:7975291 127190
08:27:12:8005293 127224
08:27:12:8035294 127244
08:27:12:8055295 127256
08:27:12:8085297 127257
08:27:12:8125299 127265
08:27:12:8155301 127296
08:27:12:8185303 127300
08:27:12:8225305 127304
08:27:12:8255307 127305
08:27:12:8285309 127307
08:27:12:8315310 127308
08:27:12:8335311 127314
08:27:12:8365313 127321
08:27:12:8395315 127323
08:27:12:8435317 127333
08:27:12:8465319 127337
08:27:12:8525322 127342
08:27:12:8555324 127364
08:27:12:8585326 127367
08:27:12:8615327 127374
08:27:12:8645329 127389
08:27:12:8695332 127393
08:27:12:8725334 127413
08:27:12:8755335 127430
08:27:12:8785337 127437
08:27:12:8815339 127442
08:27:12:8845341 127445
08:27:12:8875342 127450
08:27:12:8905344 127453
08:27:12:8935346 127457
08:27:12:8965347 127459
08:27:12:8995349 127469
08:27:12:9035351 127474
08:27:12:9145358 127475
08:27:12:9175359 127491
08:27:12:9205361 127494
08:27:12:9235363 127496
08:27:12:9265365 127499
08:27:12:9295366 127501
08:27:12:9325368 127502
08:27:12:9355370 127503
08:27:12:9385371 127514
08:27:12:9415373 127515
08:27:12:9455375 127517
08:27:12:9485377 127518
08:27:12:9515379 127520
08:27:12:9545381 127521
08:27:12:9625385 127529
08:27:12:9655387 127531
08:27:12:9685389 127532
08:27:12:9725391 127533
08:27:12:9755393 127536
08:27:12:9805395 127543
08:27:12:9835397 127544
08:27:12:9875399 127556
08:27:12:9905401 127559
08:27:12:9945403 127579
08:27:12:9975405 127587
08:27:13:0085411 127590
08:27:13:0115413 127591
08:27:13:0155415 127596
08:27:13:0185417 127599
08:27:13:0215419 127603
08:27:13:0255421 127605
08:27:13:0295424 127606
08:27:13:0325425 127610
08:27:13:0355427 127611
08:27:13:0385429 127612
08:27:13:0555438 127613
08:27:13:0585440 127616
08:27:13:0615442 127618
08:27:13:0645444 127621
08:27:13:0675445 127632
08:27:13:0715448 127635
08:27:13:0745449 127636
08:27:13:0795452 127637
08:27:13:0825454 127649
08:27:13:1015465 127656
08:27:13:1055467 127660
08:27:13:1095469 127661
08:27:13:1115470 127666
08:27:13:1145472 127670
08:27:13:1175474 127677
08:27:13:1205476 127685
08:27:13:1235477 127688
08:27:13:1255478 127689
08:27:13:1285480 127690
08:27:13:1315482 127692
08:27:13:1345484 127703
08:27:13:1375485 127706
08:27:13:1405487 127710
08:27:13:1425488 127715
08:27:13:1455490 127717
08:27:13:1475491 127724
08:27:13:1505493 127729
08:27:13:1545495 127730
08:27:13:1565496 127731
08:27:13:1595498 127735
08:27:13:1625500 127749
08:27:13:1655501 127750
08:27:13:1685503 127758
08:27:13:1715505 127759
08:27:13:1785509 127760
08:27:13:1815510 127761
08:27:13:1845512 127762
08:27:13:1885514 127763
08:27:13:1915516 127764
08:27:13:1935517 127768
08:27:13:1965519 127771
08:27:13:2015522 127773
08:27:13:2045524 127776
08:27:13:2065525 127787
08:27:13:2095526 127788
08:27:13:2125528 127790
08:27:13:2155530 127802
08:27:13:2185532 127803
08:27:13:2225534 127811
08:27:13:2265536 127812
08:27:13:2305538 127817
08:27:13:2335540 127819
08:27:13:2365542 127823
08:27:13:2385543 127825
08:27:13:2435546 127828
08:27:13:2465548 127833
08:27:13:2495549 127835
08:27:13:2525551 127836
08:27:13:2555553 127837
08:27:13:2585554 127842
08:27:13:2615556 127843
08:27:13:2645558 127845
08:27:13:2675560 127856
08:27:13:2705561 127861
08:27:13:2735563 127865
08:27:13:2775565 127867
08:27:13:2805567 127874
08:27:13:2835569 127877
08:27:13:2865571 127881
08:27:13:3035580 127891
08:27:13:3065582 127894
08:27:13:3105584 127895
08:27:13:3135586 127901
08:27:13:3165588 127905
08:27:13:3195589 127906
08:27:13:3225591 127909
08:27:13:3255593 127913
08:27:13:3285595 127917
08:27:13:3315596 127919
08:27:13:3355599 127920
08:27:13:3385600 127925
08:27:13:3415602 127926
08:27:13:3525608 127928
08:27:13:3555610 127933
08:27:13:3585612 127953
08:27:13:3625614 127954
08:27:13:3655616 127959
08:27:13:3695618 127964
08:27:13:3725620 127966
08:27:13:3755621 127972
08:27:13:3795624 127977
08:27:13:3825625 127983
08:27:13:3975634 127985
08:27:13:4005636 127988
08:27:13:4035637 127991
08:27:13:4075640 128010
08:27:13:4105641 128016
08:27:13:4145644 128021
08:27:13:4175645 128023
08:27:13:4205647 128027
08:27:13:4235649 128028
08:27:13:4265651 128029
08:27:13:4465662 128032
08:27:13:4495664 128036
08:27:13:4525665 128044
08:27:13:4555667 128049
08:27:13:4585669 128050
08:27:13:4625671 128052
08:27:13:4655673 128059
08:27:13:4685675 128060
08:27:13:4715676 128062
08:27:13:4785680 128063
08:27:13:4815682 128064
08:27:13:4845684 128069
08:27:13:4865685 128071
08:27:13:4895687 128092
08:27:13:4925688 128093
